,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8072375655174255,0.8884465098381042,0.8438286185264587,0.9403968453407288,0.984070360660553,0.9617380499839783
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.782401442527771,0.708096444606781,0.7379233241081238,0.8162124752998352,0.8528685569763184,0.834138035774231
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8067517280578613,0.8900225162506104,0.8441504836082458,0.9399424195289612,0.9846873879432678,0.9617947936058044
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7820743322372437,0.709467351436615,0.7385833859443665,0.8148297667503357,0.8547168374061584,0.8342968225479126
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.807938814163208,0.8870168924331665,0.8437164425849915,0.9406998157501221,0.9827517867088318,0.9612661004066467
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.7843713760375977,0.7074977159500122,0.7384027242660522,0.8173647522926331,0.8511008620262146,0.833891749382019
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.8075436353683472,0.885849118232727,0.8429259657859802,0.941684365272522,0.9817607402801514,0.9613050222396851
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7938257455825806,0.7069225907325745,0.742647111415863,0.838575005531311,0.8448554277420044,0.841703474521637
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8072269558906555,0.8867323398590088,0.8430994749069214,0.9411541819572449,0.9825268983840942,0.9613956212997437
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7922524809837341,0.707463264465332,0.7422641515731812,0.8374313712120056,0.846678614616394,0.8420296311378479
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.8101973533630371,0.8852842450141907,0.8443763852119446,0.941684365272522,0.9815282821655273,0.9611935615539551
11,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test_ext,0.794185221195221,0.7060866355895996,0.7422224283218384,0.838575005531311,0.8447580933570862,0.8416551947593689
12,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test,0.8092420697212219,0.883365273475647,0.8429372310638428,0.9429718255996704,0.980085015296936,0.9611703157424927
13,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test_ext,0.7956950068473816,0.6951004266738892,0.7366272211074829,0.8406775593757629,0.8230152726173401,0.8317526578903198
14,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test,0.8079374432563782,0.885589063167572,0.8430242538452148,0.9425173997879028,0.9813894629478455,0.9615607261657715
15,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test_ext,0.7952097058296204,0.69722580909729,0.7378048896789551,0.8396474719047546,0.8239456415176392,0.8317224383354187
16,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test,0.8112099170684814,0.885972261428833,0.8451907634735107,0.9427446126937866,0.9803118705749512,0.9611613154411316
17,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test_ext,0.7960847616195679,0.6945509910583496,0.736315906047821,0.8397619128227234,0.823780357837677,0.8316943645477295
18,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test,0.8096288442611694,0.8829192519187927,0.8429319858551025,0.943804919719696,0.9781789779663086,0.9606845378875732
19,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test_ext,0.8047056198120117,0.68914395570755,0.7366836071014404,0.8503011465072632,0.8049266338348389,0.8269919753074646
20,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test,0.809544026851654,0.880747377872467,0.8420237302780151,0.9442592859268188,0.9770393967628479,0.9603697061538696
21,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test_ext,0.8044172525405884,0.6881088614463806,0.7359247207641602,0.8521723747253418,0.803097128868103,0.8269072771072388
22,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test,0.8115521669387817,0.8809777498245239,0.8433160185813904,0.9434
